month,state,district_raw,pincode,IEI,IEI_rz,total_updates
2025-11-01,Madhya Pradesh,Ashok Nagar,473001,0.336878510762336,3465.8858371851425,2.0
2025-09-01,Gujarat,Ahmadabad,382430,0.29067555795615835,1385.9362550900134,2.0
2025-11-01,Gujarat,Devbhumi Dwarka,360530,0.5063974432040591,1385.311641191403,3.0
2025-09-01,Karnataka,Mysore,571313,0.2916356699777668,228.18148361346485,2.0
2025-12-01,Uttar Pradesh,Mahrajganj,273304,0.3063357013387586,177.96088106023385,2.0
2025-09-01,Gujarat,Mahesana,384540,0.28065107934525424,111.8414711515634,3.0
2025-12-01,Chhattisgarh,Baloda Bazar,496001,0.3525581154798462,94.85202818459004,2.0
2025-12-01,Bihar,Nalanda,803212,0.3398212377489522,93.90476985147296,2.0
2025-12-01,West Bengal,West Midnapore,721143,0.17108930118716098,90.00314554495871,1.0
2025-12-01,Orissa,Kendrapara,754213,0.4525474673426042,79.27379487326033,2.0
2025-12-01,West Bengal,Haora,711324,0.5365078578029564,77.01433967991042,3.0
2025-09-01,Karnataka,Davanagere,577223,0.2916356699777668,76.54871691513915,2.0
2025-09-01,Uttar Pradesh,Jyotiba Phule Nagar,244231,0.42475866288746067,73.54179332406314,5.0
2025-10-01,Kerala,Kasargod,671542,0.5078541136071196,63.38220782633391,10.0
2025-10-01,Maharashtra,Chhatrapati Sambhajinagar,431006,0.5435414772749938,62.40610119661573,4.0
2025-10-01,Bihar,Gaya,804422,0.2815123120255795,61.14073642683044,2.0
2025-09-01,Gujarat,Gandhinagar,382725,0.4566782350914351,53.17565446987794,4.0
2025-11-01,Uttar Pradesh,Sant Ravidas Nagar Bhadohi,221306,0.2979024277942659,49.06937247321493,3.0
2025-12-01,West Bengal,West Midnapore,721515,0.5489336398984299,48.210565849691335,3.0
2025-11-01,Tamil Nadu,Ariyalur,608703,0.604253735928622,47.33794230173567,15.0
2025-12-01,West Bengal,Medinipur,721211,0.3524963083950569,44.39048674725129,2.0
2025-12-01,West Bengal,North Twenty Four Parganas,700115,0.3681318123322722,42.0960556672283,2.0
2025-12-01,Jharkhand,Garhwa,829208,0.3303268678063747,40.03714363961649,2.0
2025-12-01,Rajasthan,Jhunjhunu,333303,0.32886920553263116,37.76587827886354,4.0
2025-09-01,Maharashtra,Pune,402301,0.2863531994392778,37.31681422657093,2.0
2025-12-01,Odisha,Ganjam,761025,0.38877170325652144,36.428197120740634,2.0
2025-11-01,Karnataka,Shimoga,577220,0.5374192851698767,36.29253365113127,6.0
2025-09-01,West Bengal,Hooghly,713166,0.4778485627413458,34.9610142231282,4.0
2025-11-01,Orissa,Baleshwar,756043,0.6369468944561284,33.44422434097768,4.0
2025-12-01,Madhya Pradesh,Barwani,450661,0.33176110500360906,33.318752434417036,2.0
2025-09-01,West Bengal,Bardhaman,713172,0.31073380469079154,32.46442220774801,2.0
2025-12-01,Orissa,Dhenkanal,759017,0.4200141635011992,32.11327572807611,2.0
2025-10-01,West Bengal,Darjeeling,734124,0.5477344918037034,31.940024872470584,11.0
2025-12-01,Karnataka,Davanagere,577005,0.6219615775431034,31.939575688909038,16.0
2025-11-01,West Bengal,Dakshin Dinajpur,733147,0.6254886982422322,31.932871941792246,5.0
2025-12-01,Orissa,Dhenkanal,759021,0.546020905599176,31.323682701627657,3.0
2025-12-01,Orissa,Sundargarh,770015,0.4521258856109599,31.080703486508018,2.0
2025-12-01,Orissa,Bargarh,768033,0.585678013515954,29.923712275436895,6.0
2025-09-01,Orissa,Nayagarh,752084,0.48261417241301957,29.869849544069652,3.0
2025-12-01,Bihar,Muzaffarpur,843130,0.5930610920156203,29.4181035885555,4.0
2025-09-01,Andaman & Nicobar Islands,Nicobars,744301,0.3581220810268134,28.58472612174537,2.0
2025-12-01,West Bengal,Bardhaman,713332,0.14972042111373235,26.841602641158918,1.0
2025-09-01,Gujarat,Ahmadabad,380018,0.6253226508043119,26.474619440573264,13.0
2025-12-01,Madhya Pradesh,Balaghat,481879,0.12369819386312553,26.3693112431413,1.0
2025-11-01,Rajasthan,Jhunjhunu,333011,0.5825500038885748,26.064511244578267,5.0
2025-10-01,Manipur,Bishnupur,795103,0.4307911166618028,25.868084427809915,5.0
2025-09-01,West Bengal,North Twenty Four Parganas,700101,0.40822353219468144,25.18818197899268,3.0
2025-09-01,West Bengal,Bardhaman,713520,0.31073380469079154,24.960470789278144,2.0
